date,ticker,rank,score,entry_ref,stop,atr,weight,sector,earnings_flag,rationale
2026-06-10,MU,1,2.5815,935.89,778.95,78.47,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,INTC,2,2.5199,107.92,89.44,9.24,0.2,Technology,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,AMD,3,2.3799,475.5,407.34,34.08,0.2,Technology,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,GLW,4,2.3101,173.94,145.77,14.09,0.2,Technology,no earnings <10d,12-mo momentum + tight range
2026-06-10,LRCX,5,2.285,327.16,288.9,19.13,0.2,Technology,no earnings <10d,12-mo momentum + 6-mo momentum
2026-06-10,SNDK,1,2.4116,1646.54,1374.91,135.81,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,TNGX,2,2.3259,31.56,26.72,2.42,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,MU,3,2.2518,935.89,778.95,78.47,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,DOCN,4,2.1828,168.33,141.4,13.46,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,WDC,5,2.1567,517.72,450.39,33.66,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,SNDK,1,2.3979,1646.54,1374.91,135.81,0.0361,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,TNGX,2,2.2946,31.56,26.72,2.42,0.0361,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,MU,3,2.2079,935.89,778.95,78.47,0.0361,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,WDC,4,2.1549,517.72,450.39,33.66,0.0361,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,DOCN,5,2.1408,168.33,141.4,13.46,0.0361,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,SNDK,1,2.3979,1646.54,1374.91,135.81,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-10,TNGX,2,2.2946,31.56,26.72,2.42,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,MU,3,2.2079,935.89,778.95,78.47,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,WDC,4,2.1549,517.72,450.39,33.66,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-10,DOCN,5,2.1408,168.33,141.4,13.46,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-17,WDC,1,2.432,681.08,591.08,45.0,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-17,SNDK,2,2.4117,1991.55,1676.78,157.39,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-17,TNGX,3,2.2249,32.16,26.69,2.73,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-17,AEHR,4,2.2111,104.83,77.22,13.81,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-17,MU,5,2.117,1020.76,849.37,85.7,0.1,Unknown,⚠️ EARNINGS 2026-06-24 (7d),6-mo momentum + 3-mo momentum
2026-06-18,WDC,1,2.4204,712.13,617.18,47.48,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-18,SNDK,2,2.1296,1958.8,1644.2,157.3,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-18,TNGX,3,2.0824,32.29,26.53,2.88,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-18,AEHR,4,2.0511,112.62,83.29,14.67,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-18,RXT,5,2.0036,7.53,5.57,0.98,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-19,WDC,1,2.3832,746.23,642.4,51.92,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-19,SNDK,2,2.1244,2184.75,1846.56,169.1,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-19,BE,3,2.0642,328.91,276.3,26.3,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-19,AEHR,4,2.0088,115.3,86.15,14.58,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-19,MU,5,1.9902,1133.99,950.66,91.67,0.1,Unknown,⚠️ EARNINGS 2026-06-24 (5d),3-mo momentum + 6-mo momentum
2026-06-22,WDC,1,2.398,746.23,642.4,51.92,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-22,BE,2,2.1076,328.91,276.3,26.3,0.2,Unknown,no earnings <10d,6-mo momentum + 12-mo momentum
2026-06-22,SNDK,3,2.096,2184.75,1846.56,169.1,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-22,AEHR,4,1.9812,115.3,86.15,14.58,0.2,Unknown,no earnings <10d,3-mo momentum + 6-mo momentum
2026-06-22,TNGX,5,1.9652,27.97,21.92,3.02,0.2,Unknown,no earnings <10d,12-mo momentum + 6-mo momentum
